Timestamp,Current (A),Voltage (V)
2025-01-08 17:08:00,24.9816047538945,222.824470867463
2025-01-08 17:08:01,48.02857225639664,231.41754833678954
2025-01-08 17:08:02,39.2797576724562,223.70540710766647
2025-01-08 17:08:03,33.946339367881464,225.57286126230073
2025-01-08 17:08:04,16.24074561769746,224.37419600647166
2025-01-08 17:08:05,16.239780813448107,223.65675559737633
2025-01-08 17:08:06,12.32334448672798,236.51421903121334
2025-01-08 17:08:07,44.647045830997406,225.7141513532178
2025-01-08 17:08:08,34.04460046972835,238.542475637289
2025-01-08 17:08:09,38.32290311184182,239.39853050690382
2025-01-08 17:08:10,10.823379771832098,231.42520939874194
2025-01-08 17:08:11,48.79639408647977,222.8600224533145
2025-01-08 17:08:12,43.29770563201687,227.49096486759163
2025-01-08 17:08:13,18.493564427131048,235.9546452669643
2025-01-08 17:08:14,17.272998688284027,227.3478145739414
2025-01-08 17:08:15,17.33618039413735,221.74034436605578
2025-01-08 17:08:16,22.16968971838151,231.13569821856376
2025-01-08 17:08:17,30.990257265289515,236.90241702992068
2025-01-08 17:08:18,27.27780074568463,235.91852774287005
2025-01-08 17:08:19,21.649165607921677,223.50246280260706
2025-01-08 17:08:20,34.474115788895176,233.45529228824932
2025-01-08 17:08:21,15.579754426081674,224.41008526871295
2025-01-08 17:08:22,21.685785941408724,224.36415069104345
2025-01-08 17:08:23,24.654473731747668,237.4814354661037
2025-01-08 17:08:24,28.24279936868144,224.9933790548046
2025-01-08 17:08:25,41.407038455720546,225.26494693036022
2025-01-08 17:08:26,17.98695128633439,220.01306781522598
2025-01-08 17:08:27,30.569377536544465,237.41338068251036
2025-01-08 17:08:28,33.696582754481696,235.8518962641827
2025-01-08 17:08:29,11.85801650879991,232.54657870181356
2025-01-08 17:08:30,34.30179407605753,235.00531527877683
2025-01-08 17:08:31,16.82096494749166,223.04097134848985
2025-01-08 17:08:32,12.60206371941118,229.1664718917515
2025-01-08 17:08:33,47.95542149013333,227.0243877469756
2025-01-08 17:08:34,48.625281322982374,221.87553052514033
2025-01-08 17:08:35,42.33589392465844,229.7226097042985
2025-01-08 17:08:36,22.184550766934827,238.4147930068527
2025-01-08 17:08:37,13.906884560255355,220.8011823810139
2025-01-08 17:08:38,37.36932106048627,225.82921826987587
2025-01-08 17:08:39,27.606099749584054,224.15081872411406
2025-01-08 17:08:40,14.881529393791153,224.76293307331392
2025-01-08 17:08:41,29.807076404450807,238.1686910375875
2025-01-08 17:08:42,11.375540844608736,229.3613810846858
2025-01-08 17:08:43,46.372816083151285,229.32598825879637
2025-01-08 17:08:44,20.351199264000677,235.21151284910565
2025-01-08 17:08:45,36.50089137415928,223.08984408009852
2025-01-08 17:08:46,22.46844304357644,229.745307082001
2025-01-08 17:08:47,30.802720847112433,228.5997042824212
2025-01-08 17:08:48,31.868411173731186,231.93821381093312
2025-01-08 17:08:49,17.394178221021082,239.99115406500877
2025-01-08 17:08:50,48.783385110582344,235.38897788164095
2025-01-08 17:08:51,41.00531293444458,227.95731406034855
2025-01-08 17:08:52,47.579957662567566,236.55106104548094
2025-01-08 17:08:53,45.79309401710595,223.4141672662496
2025-01-08 17:08:54,33.915999152443405,220.6092737261792
2025-01-08 17:08:55,46.87496940092467,224.08896744928546
2025-01-08 17:08:56,13.53970008207678,226.80823112228518
